iter	RMSE
0	1738161.925
1	1715667.977
2	1701314.35
3	1680461.776
4	1661083.282
5	1644952.207
6	1626961.672
7	1610449.713
8	1595118.246
9	1578041.016
10	1561678.71
11	1546006.411
12	1528056.433
13	1516484.844
14	1501609.224
15	1486467.599
16	1469666.24
17	1453986.82
18	1440648.69
19	1428336.032
20	1415503.665
21	1404572.678
22	1392706.047
23	1379606.693
24	1368096.624
25	1357749.434
26	1345861.64
27	1334870.536
28	1324319.638
29	1314448.109
30	1303923.358
31	1293611.654
32	1283261.044
33	1272546.304
34	1263072.893
35	1252908.396
36	1243098.083
37	1232892.04
38	1223194.761
39	1213360.766
40	1203075.981
41	1194168.556
42	1184634.22
43	1176612.085
44	1167637.899
45	1159744.687
46	1151620.033
47	1143919.61
48	1135496.876
49	1126914.426
50	1118253.464
51	1110446.412
52	1102018.341
53	1094469.914
54	1087169.124
55	1079569.665
56	1072226.458
57	1065107.227
58	1057980.729
59	1050780.859
60	1043739.13
61	1036937.645
62	1029725.635
63	1022499.116
64	1016002.726
65	1009558.925
66	1005144.481
67	998292.5034
68	991290.4385
69	984593.9255
70	978468.6892
71	972062.1883
72	965956.303
73	959416.7246
74	953076.8837
75	947050.0612
76	941153.6542
77	935462.9184
78	929489.3979
79	923890.5471
80	918006.715
81	911701.8442
82	905781.513
83	901448.4882
84	895885.2404
85	890156.4975
86	884772.2467
87	879100.5294
88	873787.8269
89	870888.9946
90	865691.6335
91	861754.3223
92	856585.8132
93	851642.2057
94	847091.3704
95	843140.4591
96	839675.9174
97	837290.7748
98	832560.6133
99	827881.9609
100	823815.3035
101	819159.2496
102	814780.8451
103	810135.1739
104	806656.2119
105	801888.2571
106	797211.8214
107	792610.3722
108	788755.111
109	785155.0225
110	781030.0364
111	778340.0196
112	775316.9317
113	770951.7418
114	766649.4451
115	762423.9155
116	759340.1302
117	755306.524
118	751917.3756
119	747882.8277
120	744855.442
121	741158.6811
122	738232.8959
123	735126.4269
124	732079.1442
125	728554.5385
126	724644.5312
127	721005.7987
128	717708.8218
129	713822.259
130	710730.5614
131	708993.1383
132	707723.1393
133	704036.979
134	703102.2556
135	699851.3524
136	696186.6593
137	693962.3774
138	690327.9821
139	687296.371
140	685489.2711
141	681870.3093
142	678305.419
143	676600.1141
144	673382.3267
145	670054.5194
146	668251.6811
147	665825.3539
148	662516.1402
149	659002.3771
150	656555.1836
151	654736.7923
152	651348.4325
153	648153.6979
154	646788.8028
155	643471.1498
156	640548.3423
157	638053.9999
158	636248.9157
159	634320.3445
160	631070.3152
161	627779.1711
162	624684.5503
163	621423.0039
164	618414.7117
165	616014.3611
166	613019.4372
167	609928.7077
168	607619.3699
169	605051.1608
170	601982.5578
171	599183.869
172	598689.4754
173	596023.8236
174	593227.4426
175	590307.6537
176	587648.1341
177	585837.6606
178	583700.8958
179	582360.7359
180	579885.7709
181	577040.1304
182	576039.7259
183	573312.0736
184	572449.3507
185	569614.0719
186	568695.3389
187	565781.6287
188	562986.477
189	562040.9561
190	560893.5581
191	558127.0436
192	556337.1025
193	555515.3256
194	553041.4523
195	550792.0755
196	548424.5414
197	546436.8273
198	544288.1026
199	541868.7406
200	539248.6143
201	536502.9151
202	534012.8502
203	533393.1363
204	530960.4107
205	528521.4687
206	527763.9925
207	527061.7017
208	524649.9459
209	522310.6105
210	519952.9856
211	518045.734
212	515866.4841
213	515140.6597
214	512796.2565
215	510777.1756
216	510042.9317
217	507832.3666
218	505731.998
219	503634.0216
220	501206.3204
221	498875.8562
222	496374.1974
223	494589.2622
224	493651.1966
225	492332.7047
226	490065.6844
227	489626.5974
228	487523.2035
229	485569.7486
230	483133.8008
231	480953.9967
232	478854.1781
233	476792.6767
234	474881.7584
235	472659.9176
236	470524.6595
237	468741.3821
238	466616.9684
239	464550.3027
240	462538.4304
241	460617.7705
242	458663.4461
243	456751.148
244	454792.3141
245	452901.1792
246	451120.2709
247	448899.2271
248	446905.9085
249	445225.2627
250	443390.1139
251	442865.7591
252	441077.474
253	439430.971
254	437515.7442
255	435769.4656
256	433833.4248
257	431937.3579
258	429962.9746
259	429607.8347
