iter	Passed	Remaining
0	26	6897
1	27	3533
2	314	26964
3	315	20194
4	316	16123
5	329	13935
6	335	12134
7	342	10787
8	393	10979
9	400	10008
10	406	9209
11	407	8421
12	408	7761
13	690	12138
14	697	11394
15	748	11417
16	750	10728
17	752	10115
18	758	9626
19	1042	12504
20	1093	12442
21	1375	14881
22	1376	14183
23	1378	13554
24	1381	12988
25	1663	14973
26	1665	14376
27	1948	16141
28	1998	15921
29	2048	15708
30	2172	16051
31	2296	16365
32	2322	15972
33	2442	16238
34	2710	17424
35	2716	16904
36	2837	17104
37	2844	16617
38	2856	16186
39	2905	15978
40	2917	15583
41	2929	15206
42	3047	15379
43	3307	16238
44	3425	16364
45	3685	17144
46	3733	16918
47	3991	17631
48	4003	17241
49	4010	16842
50	4127	16916
51	4128	16512
52	4131	16135
53	4395	16769
54	4657	17360
55	4669	17011
56	4675	16652
57	4939	17203
58	5200	17716
59	5202	17340
60	5214	17009
61	5476	17489
62	5500	17200
63	5524	16919
64	5786	17359
65	5810	17079
66	5810	16738
67	5816	16423
68	5819	16109
69	5825	15813
70	6085	16200
71	6109	15953
72	6374	16329
73	6638	16686
74	6640	16379
75	6643	16084
76	6645	15793
77	6902	16106
78	7164	16415
79	7417	16688
80	7662	16932
81	7665	16640
82	7690	16399
83	7690	16114
84	7697	15847
85	7722	15623
86	7995	15899
87	8257	16139
88	8271	15892
89	8271	15624
90	8538	15857
91	8539	15593
92	8813	15825
93	9066	16011
94	9073	15759
95	9074	15502
96	9075	15249
97	9075	15002
98	9337	15185
99	9600	15361
100	9604	15119
101	9626	14912
102	9629	14678
103	9653	14480
104	9654	14251
105	9662	14037
106	9926	14193
107	10199	14355
108	10206	14138
109	10209	13921
110	10215	13712
111	10215	13499
112	10216	13290
113	10470	13409
114	10735	13536
115	10784	13387
116	10785	13182
117	10832	13036
118	10836	12840
119	10884	12698
120	10886	12506
121	10911	12342
122	10913	12155
123	10914	11971
124	10926	11800
125	10950	11646
126	11206	11736
127	11254	11606
128	11266	11441
129	11527	11527
130	11540	11364
131	11541	11191
132	11541	11020
133	11659	10962
134	11659	10795
135	11683	10652
136	11801	10595
137	11801	10433
138	11920	10376
139	11943	10237
140	11944	10080
141	12205	10142
142	12466	10199
143	12466	10042
144	12514	9925
145	12775	9975
146	12776	9821
147	12780	9671
148	13035	9711
149	13286	9743
150	13289	9593
151	13290	9443
152	13542	9470
153	13790	9492
154	13791	9342
155	14057	9371
156	14307	9386
157	14320	9244
158	14322	9097
159	14327	8954
160	14591	8972
161	14847	8981
162	15094	8982
163	15339	8979
164	15600	8982
165	15606	8837
166	15859	8832
167	16108	8821
168	16132	8686
169	16155	8552
170	16399	8535
171	16655	8521
172	16655	8375
173	16703	8255
174	16824	8171
175	17082	8153
176	17200	8065
177	17206	7926
178	17212	7789
179	17214	7650
180	17262	7534
181	17521	7509
182	17522	7372
183	17787	7346
184	17787	7211
185	18048	7180
186	18050	7046
187	18310	7012
188	18572	6977
189	18573	6842
190	18574	6710
191	18834	6670
192	18857	6546
193	18858	6415
194	18977	6325
195	19025	6212
196	19286	6167
197	19310	6046
198	19571	5999
199	19832	5949
200	20100	5900
201	20363	5846
202	20623	5790
203	20623	5661
204	20885	5603
205	21146	5543
206	21146	5414
207	21147	5286
208	21407	5223
209	21668	5159
210	21931	5093
211	21979	4976
212	22241	4907
213	22242	4781
214	22502	4709
215	22550	4593
216	22551	4468
217	22670	4367
218	22931	4293
219	23193	4216
220	23458	4139
221	23721	4060
222	23989	3980
223	24038	3863
224	24039	3739
225	24046	3617
226	24311	3534
227	24311	3412
228	24577	3327
229	24841	3240
230	25104	3151
231	25367	3061
232	25625	2969
233	25881	2875
234	26134	2780
235	26386	2683
236	26640	2585
237	26899	2486
238	27160	2386
239	27419	2284
240	27671	2181
241	27928	2077
242	28195	1972
243	28450	1865
244	28710	1757
245	28966	1648
246	29227	1538
247	29488	1426
248	29747	1314
249	29771	1190
250	30031	1076
251	30031	953
252	30149	834
253	30410	718
254	30677	601
255	30943	483
256	31188	364
257	31438	243
258	31695	122
259	31695	0
